flatshare_id,age,ages,any_pets,available,balcony_roof_terrace,bills_included,broadband_included,couples_ok,deposit,deposit(room_1),deposit(room_2),deposit(room_3),deposit(room_4),deposit(room_5),deposit(room_6),deposit(room_7),detail,disabled_access,double_room,furnishings,garage,garden_patio,gender,images,interests,language,lgbt_preferred,living_room,location,max_age,maximum_term,min_age,minimum_term,nationality,num_flatmates,num_housemates,occupation,orientation,parking,pets_ok,postcode,property_type,references,rent,room_type,security_deposit,single_room,smoker,smoking_ok,station,station_distance,total_num_rooms,university,vegetarian_vegan
18083988,66,,Yes,Now,No,No,No,No,£750.00,,,,,,,,"We have a lovely large room to rent with a view of our garden. It should be free from the second or third week in January. There is an original fireplace, a double bed with room underneath for storage, plenty of shelving, a small wardrobe and a clothes rail  and a little desk by the window that overlooks our garden. This is for just one person, not a couple, owing to pressure on the bathroom and kitchen.The room is in a terraced house just off Church Street. I own the house and live here with my 19-year-old daughter and our dog. Sorry, we can’t take any other pets – he is quite enough for us to manage! As we are an all-female household we feel more comfy with another female. We’ve shared our house with many lodgers over the years. We find that those who fit best often have busy lives of their own, as we do but we enjoy a chat in the kitchen as we come and go. I’m an ad creative and my daughter is currently on a gap year.There’s a kitchen with a dishwasher, a downstairs loo and an upstairs bathroom with a bath with a shower. There’s also a utility room. No tumble dryer.It’s a great location, just off Church Street but near the High Street. We are very close to Abney Park and Clissold Park is just a wander away past all the shops and cafes of Church Street. A little further is the famous Castle Climbing Centre and open water swimming reservoir. The leisure centre is nearby for indoor swimming, gym etc. There’s the Farmers Market at the weekend in the High Street. Transport links include buses on Church Street (73 heading for Angel and central London, the 393 to Highbury) buses on the High Street,(149 up to Seven Sisters tube or down to Dalston), Stoke Newington station is near.The rent is £750, paid by direct debit. . The deposit is one month’s rent, paid in advance. The bills are £140 a month which include utility bills, broadband, council tax, ( band E) TV licence, water. However, if the monthly usage on the utility bills increases then there will be additional charges. We don’t usually put the heating on during the working weekday. We all clean the house.A reference from an employer is required. We have had many people sharing our house with us over the years and especially love those from other countries. We find that people who have busy independent lives tend to fit best in the house. Sorry, there isn’t storage space outside your room other than a few pots and pans in the kitchen. There are bike storage units in the street which you can rent from the council.Drop me a message if you think you might like living here and fit in well, we really enjoy meeting people from other countries and people with interesting hobbies.",No,,Furnished,No,No,Females preferred,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426042.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426004.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426005.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426087.jpg""]",,English,,No,Stoke Newington,,36 months,,6 months,British,,2,Available to all,,No,No,N16Area,House share,Yes,£750 pcm,double,,,No,No,Stoke Newington Station,5-10 minutes by bus away,3,,
18083997,26,,No,01 Feb 2026,No,Yes,Yes,No,"£1,100.00",,,,,,,,"Hi! I’m Ben — 26, working as a software engineer — and I’m looking for a friendly and respectful flatmate to share a great lower-ground floor flat right by the river in Hammersmith.The area is great: think riverside walks, cosy pubs, and plenty of great bars and restaurants just a few steps away. The flat itself is clean, tidy, and well-kept, and it comes with all bills included plus a weekly cleaner.About the room & flat:•	Spacious double bedroom available•	Lower-ground floor flat with a warm, homely feel•	Fantastic riverside location near bars, cafés, and transport links•	Bills included (utilities, WiFi, etc.)•	Weekly cleaner includedAbout me / who I’m looking for:I’m sociable, enjoy a chat, and love a relaxed home environment — but I also appreciate personal space and a calm atmosphere. Ideally, you’re someone similarly clean, tidy, considerate, and easy-going.Availability:I’m moving into the flat in late December, and the room will be available to rent from February.If this sounds like a good fit, feel free to drop me a message.Note: The furniture in the photos belongs to the previous tenants, so the flat may look slightly different when you move in.",No,,Furnished,No,No,No preference,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426238.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426236.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426237.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426239.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426241.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426240.jpg""]","running, surfing, technology",English,,shared,Hammersmith and Fulham,30,None,20,6 months,,1,,Available to all,,No,No,W6Area,Flat share,Yes,"£1,100 pcm",double,,,No,Yes,Hammersmith Station,5-10 minutes walk away,2,,
18083981,,22 to 27,No,Now,No,Yes,Yes,No,£899.00,,,,,,,,"A recently renovated detached house ideally located in South Bermondsey, within walking distance of London Bridge, Elephant & Castle, and Shad Thames with its scenic riverside walks and city views.The property offers five spacious rooms to choose from, each designed for comfortable, modern living.Property Features• Guest toilet• One full bathroom + one ensuite• Large kitchen with open-plan dining area• Spacious private garden with seating area• Fully furnished rooms with double bed, desk & chair, and storage drawers• Private parking spaceLocation Highlights• Crol & Co South Bermondsey coffee shop on the corner• Tesco Superstore and Argos nearby• Local pubs and international restaurants• Bermondsey Spa Gardens and Borough Market within easy reach• Excellent bus links and walking distance to the Jubilee Line• Around 30 minutes to Oxford Circus*Initial bills contribution applyFor more details, viewings or bookings, contact now – properties in this location go fast.",No,,Furnished,No,Yes,"2 Females, 2 Males","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426048.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426049.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426043.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426044.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426046.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426045.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426033.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426037.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426029.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426034.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426035.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426032.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426031.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426039.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426073.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426074.jpg""]",,,,No,Bermondsey,,None,18,None,,,4,Available to all,,Yes,No,SE1Area,House share,No,£899 pcm,double,,,No,Yes,Bermondsey Station,5-10 minutes walk away,5,,
17967619,,,,05 Jan 2026,,,,,,,,,,,,,"About the FlatTop-floor studio in a period building on Fortess Road. If you know Kentish Town, the studio overlooks the beautiful Falkland Road, so you feel nice the moment you step outside.Two minutes from Kentish Town Station (Northern Line & Thameslink), walking distance to Camden and Tufnell Park. Good natural light, modern fixtures, works well for one person or a couple.⸻What’s Inside✨ Double queen bed and memory foam mattress (1200£), big white standing desk with, built-in wardrobe✨ Kitchen: induction hob, fridge/freezer, basic appliances, decent storage✨ Shower room with proper ventilation through a big double glazed window.✨ Large sash windows, leafy street views✨ Broadband connection ready✨ Comes furnished⸻Getting Around📍 Kentish Town Station: 2-minute walk🚇 Central London: 15 minutes direct🌿 Hampstead Heath nearby for weekend walks☕ Local cafes, pubs, and shops within walking distance🛒 Supermarkets and gyms close by⸻The SpaceCompact but well-designed layout. Room to work from the desk, relax on the bed, and cook without everything feeling on top of each other. Gets good light during the day.⸻As I’m living here myself at the moment, I’m looking for someone that I can trust. Let’s grab a coffee and get to know each other and see whether the space is right for you. I’m asking for a deposit just in case (open rent). I’m always here for you to communicate whether you have any issues with the flat and I’ll fix it right away :)I’m letting the flat as I want to move in with my partner 😊Happy to negotiate price and length of stay",,,Furnished,,,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443000.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443006.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443004.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443005.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443001.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443002.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97443003.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97442998.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/44/97442999.jpg""]",,,,own,Kentish Town,,12 months,,6 months,,,,Available to all,,,No,NW5Area,"Flat
        
        to rent",Yes,,,£900.00,,,No,,,,,
17517734,,,No,18 Dec 2025,No,Yes,Yes,No,£0.00,,,,,,,,"Hi There, PLEASE READ THE FULL DESCRIPTION!Live in Stratford – Perfect for Students and Young Professionals!Experience the vibrant lifestyle of East London in the bustling area of Stratford! This is an ideal location for students and young professionals who want to enjoy a variety of local pubs, restaurants, and nightlife.Location:The flat is conveniently situated near Stratford and Leyton stations. With excellent bus connections available day and night, you’ll have easy access to all corners of London.The Apartment:This beautifully refurbished apartment offers a welcoming environment to share with a maximum of four other tenants.Room Available:Room 1: £190 per week - Double room single use  - 823£ per monthWe offer:Unlimited WiFiCouncil Tax includedAll bills managed (electricity and gas are not included)Fully furnished rooms and kitchen24/7 maintenance supportDeposit protected by DPSDeposit Information:To qualify for a zero-deposit option, you must earn 2.5 times the yearly rent (e. g., for a £823 monthly room, an income of £25,000+ is required). A credit check and proof of full-time employment (the latest three payslips and the last three months of bank statements) are necessary. Students will need to pay a five-week deposit, protected under the Mydeposits scheme.Don’t miss out on this fantastic opportunity to enhance your London experience! Contact me on WhatsApp for further information or to arrange a viewing.Kind Regards,",No,,Furnished,No,Yes,4 Males,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426174.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426173.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426180.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426179.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426178.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426177.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426183.jpg""]",,,,No,Stratford,,None,18,None,,4,,Available to all,,No,No,E15Area,Flat share,Yes,£191 pw,double,,,No,Yes,Stratford Station,0-5 minutes walk away,5,,
17570126,,,,Now,Yes,Yes,Yes,No,,£925.00,"£1,050.00",,,,,,"😩Fed up with chaotic flatshares that don’t match your lifestyle?✨Professional household, weekly cleaner and all bills included for total ease.📍 TRANSPORT LINKS🚇 Tooting Broadway Station – 3-minute walk (Zone 3)➡️ Northern Line to Bank in ~25 minutes➡️ Direct links to London Bridge, Elephant & Castle, King’s Cross🚌 Bus routes: 57, 333, G1, 131, 127➡️ Direct to London Victoria, Clapham, Streatham, and more🛋 OUR HOUSEMATE BENEFITS✔️ All Bills Included✔️ Weekly Cleaning✔️ Fully Furnished Double Room✔️ Minimal Bathroom Sharing✔️ Communal Area + Garden✔️ Fibre Wi-Fi✔️ 24/7 Maintenance Portal✔️ Premium Housekeeping Option Available✔️ Dedicated Property Manager✔️ Free COHO Annual Membership🏡 ARE YOU OUR PERFECT HOUSEMATE ?This home is for driven professionals who know that a calm, focused environment fuels success. We’re building a long-term household of like-minded achievers — 12-month tenancies only.📲 WANT TO VIEW TODAY ?Message us “Selkirk” on WhatsApp now to book your viewing today.📌 TERMS & CONDITIONS12-month minimum tenancyReferences requiredMinimum salary: £35,000+No petsNo Couples Allowed",No,,Furnished,No,Yes,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98322922.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/65/97656709.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/38/98385854.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/38/98385846.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98322923.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98322912.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98322924.jpg""]",,,,shared,Tooting Broadway,50,None,30,12 months,,,,Not suitable for students,,Yes,No,SW17Area,House share,Yes,£925 pcm,single,,,,No,Tooting Broadway Station,0-5 minutes walk away,,,
18083983,,,No,15 Dec 2025,No,Yes,Yes,No,,£780.00,£850.00,,,,,,"Please text me your details e. g. occupation, preferred move-in date, and the length of stay you are looking for. I will get back to you as soon as possible if it is a suitable match.>Preferred Stay Duration:6–12 months.>Location:- 1-minute walk to Haringey Train Station (1 stop to Finsbury Park, Zone 2)- 24/7 bus connections to Central London- 3–4 minutes’ walk to Green Lanes High Street, with 24-hour shops, restaurants, and additional bus routes to Central London>Bills:All bills included except for electricity in the room, which is topped up by coins (£10-15per month).>Preferred Tenants:Young professionals or students who are tidy and seeking a long-term stay.",No,,Furnished,No,No,"2 Females, 1 Male","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426122.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426120.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426121.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426116.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426117.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426119.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426118.jpg""]",,,,No,Manor House,,None,,None,,,3,Available to all,,No,No,N4Area,House share,No,£780 pcm,double En suite,,,No,No,Manor House Station,5-10 minutes walk away,5,,
14578957,50,,No,Now,No,Yes,Yes,No,£900.00,,,,,,,,"I have a  bright double room in spacious top floor flat. Large bathroom, large kitchen and good sizeable living room.The space is unique its  above a great pub/ public house in Leyton, period building.Perfectly located less than 4 mins walk from Leyton station.  15 mins walk to Stratford station.  15 min walk to Hackney wick. Fantastic transport links.Close to all amenities, such as supermarkets , (Asda, 5 minutes away, gym and Olympic Park/Swimming pool. CloseYou would be living with one other self employed female..£900 pcm ALL BILLS INCLUDED.Not suitable for cats or dogs",No,,Furnished,No,No,Females preferred,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/37/95375004.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/37/95375005.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/37/95375006.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/37/95375007.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/37/95375009.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/78/49/78493370.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/37/95375010.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/78/48/78489284.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/37/95375109.jpg""]","music, travelling, art, films, photography, fashion, design, meditation, people, creative",English,,shared,Leyton,55,6 months,25,1 month,British,1,,Not suitable for students,,No,No,E15Area,Flat share,Yes,£900 pcm,double,,,No,No,Leyton Station,0-5 minutes walk away,2,,
18083992,,27 to 30,No,08 Dec 2025,,Not known,Yes,No,£804.00,,,,,,,,"Hello!We are looking for a new flatmate to rent a room in our lovely home!The house:Room Rent - £775 per monthBills come to roughly £115 - £125 a monthFlexible move in date, but need to fill before January 1st.The room is a spacious double in a Victorian terraced house. Comes with a double bed, wardrobe and set of drawers. We have a lovely living room and kitchen where we hang out. Kitchen fully equipped + dish washer (yay!). 2 full bathrooms. Separate laundry room with washing machine and dryer. There are actually 5 bedrooms in total, giving us a spare bedroom for if family/friend want to visit (we don’t rent this out in respect to the landlords who keep the rent decent for us in exchange of keeping this room free). Nice tall ceilings across the house. Alex’s favourite point to show off is our lovely garden, which is fairly huge and grows beautiful roses, grape vine and wildflowers in the spring.We are located within 15 minute walk of both Seven Sisters (Victoria line) and Turnpike Lane (Piccadilly line) tube stations. Can get you to Kings cross in 30 min and easily into central London very fast.Also a couple minutes walk from multiple nice parks, Tesco and Sainsbury’s. 15-20 minute walk to couple big Tescos/sainsbury/aldi - up for the choosing!Us & house vibes:We are three working professionals in our late 20s/ early 30s, so looking for someone similar. We are pretty chill generally as people. We keep a clean house overall and divvy up the cleaning that needs to be done. We are friendly and sociable whilst being respective of peoples space. Love a good pub trip or film/game night when we can but also happy to just chat over making dinner or slump on the sofa to watch some tv together after a long work day.  Alex (27- she/her) is originally American but has lived in the UK for 20 years. She works in Arts education and enjoys art, going to the pub, board games, and bagels. Jackson (30 - he/him) is from New Zealand. He works in the public sector and enjoys video games, watching Liverpool or a good series. Or (28 - he/him) grew up in the Netherlands. He is a doctoral student who used to enjoy reading until starting a PhD, running, and watching a good film.Drop us a message for more info and we can schedule a viewing! Room will be available from Jan 1.  Cheers! Alex, Or and Jackson",,,Furnished,,,No preference,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426207.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426202.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426203.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426204.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426201.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426205.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426206.jpg""]",,,,shared,Harringay,35,None,25,None,,,3,Available to all,LGBT household,,No,N15Area,House share,,£775 pcm,double,,,No,No,,,4,,
18083994,,,No,Now,Yes,Yes,Yes,No,,"£1,050.00","£1,100.00",,,,,,"Please text me your details. including your occupation, preferred move-in date, and the length of stay you are looking for. I will respond as soon as possible if it is a suitable match.• Preferred Stay Duration:10–12 months.• Location:- Situated directly beside Regent’s Canal, just a 10–15 minute walk from UAL St Martin’s and UCL- 5 minutes on foot to King’s Cross & St Pancras stations- Convenient bus stops directly outside the building for easy travel across the city• Room Features:- Double bed- Chest of drawers- Clothes hangers- Mini-fridge- Communal Kitchen- Fully equipped with a cooker, oven, microwave, washing machine, and dryer.• Bathrooms:- Three full shared bathrooms (toilet and shower).• Bills:- All bills included (including broadband)",No,,Furnished,No,No,"2 Females, 2 Males","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426214.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426213.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426215.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98426216.jpg""]",,,,No,King's Cross,,None,,None,,4,,Available to all,,No,No,N1Area,Shared property,No,"£1,050 pcm",double,,,No,Yes,King's Cross / St. Pancras Station,0-5 minutes walk away,6,,
17400571,,20 to 30,No,15 Jan 2026,Yes,Yes,Yes,No,£0.00,,,,,,,,"Hi There, PLEASE READ THE FULL DESCRIPTION!Live in Shoreditch – Perfect for Students and Young Professionals!Experience the vibrant lifestyle of East London in the bustling area of Shoreditch! This is an ideal location for students and young professionals who want to enjoy a variety of local pubs, restaurants, and nightlife.Location:The flat is conveniently situated near Shoreditch and Bethnal Green stations. With excellent bus connections available day and night, you’ll have easy access to all corners of London.The Apartment:This beautifully refurbished apartment offers a welcoming environment to share with a maximum of two other tenants.Room Available:Room 1: £280 per week - Double room single use  - 1,213£ per monthWe offer:Unlimited WiFiCouncil Tax includedAll bills managed (electricity and gas are not included)Fully furnished rooms and kitchen24/7 maintenance supportDeposit protected by DPSDeposit Information:To qualify for a zero-deposit option, you must earn 2.5 times the yearly rent (e. g., for a £1,213 monthly room, an income of £37,000+ is required). A credit check and proof of full-time employment (the latest three payslips and the last three months of bank statements) are necessary. Students will need to pay a five-week deposit, protected under the Mydeposits scheme.Don’t miss out on this fantastic opportunity to enhance your London experience! Contact me on WhatsApp for further information or to arrange a viewing.Kind Regards,",No,,Furnished,No,No,2 Males,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/92/76/92766686.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/92/76/92766685.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/92/76/92766696.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/92/76/92766697.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/92/76/92766700.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/92/76/92766701.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/92/76/92766699.jpg""]",,,,shared,Shoreditch,,None,18,None,,2,,Available to all,,No,No,E2Area,Flat share,Yes,£280 pw,double,,,No,No,Shoreditch High Street Station,0-5 minutes walk away,3,,
15236965,,,Yes,15 Dec 2025,Yes,Some,Yes,No,"£1,699.00",,,,,,,,"Pls note: I am away on a regular basis at the momentOn the Clapham/Brixton border in Zone 2 (Clapham Common) so the best of both.Welcome to the Loft on the 3rd floor, a little oasis away from the city & private from the rest of the house so just like having your own place.3  tube stations & the overground line just 12-15 mins walk away at Clapham North, Clapham Common, Clapham South, Brixton - 15 mins to Oxford Circus.Recently extended and refurbished on its own level (of a 3 floor house) with adjoining private wetroom & toilet, 2 balconies & triple glazing. Large, relaxing bedroom & living space and due to the all-round window configuration you can feel the sun on your face throughout the day.Modern, tastefully furnished, brick feature wall, natural wood flooring and lockable doors, with distant views of the Shard at London Bridge. Loads of storage space - cupboard with large shelves & rail and long cupboard with rail. Air purifier.Price includes bills (except for gas & electric which will be shared with the other 2, other 3 when i am here - we find bills pretty reasonable (around £30-£40 each pm) likely due to the triple glazing. You’re welcome to contribute to a joint shop around once every 2 months for household stuff like t rolls, washing capsules, dishwasher tablets, washing sponges, cleaning products etc - around £8 - £15 every 2 months. Means that no one has to carry heavy items. Fast wifi etc etc and the space is for one person only. Our jobs are product design, marketing & video games.This is not really a party house unfortunately (!) & we are looking for someone respectful clean & tidy. I like to foster an environment that’s calm and relaxing for people with busy &/or differing schedules, though we r of course welcoming & friendly!Prefer female who is light on their feet (we have wooden flooring throughout!)SpaceDimension-wise the room is large at 6.97m x 3.33m, with triple glazed windows and remote controlled blackout blinds. One balcony has 2 doors while the 2nd transforms into a huge Cabrio velux balcony.Relax under the skylights, or sip wine on one of the balconies.Private Wetroom & ToiletBlue metro tiled wet room with large overhead pressure shower, handheld shower and infinity faucet. Sink, toilet and large heated towel rail, 2 windows with blackout blinds.KitchenSituated on the 1st floor, a bright Sunny  Kitchen/Living  spaceWith a full  range  of  utensils,  washer/dryer, dishwasher, ironing  facilities,  fridge,  microwave,  oven,  glass  table  &  chairs, toaster&  kettle.Share  kitchen/living  with  2  other  lovely  housemates.I live on the ground floor some of the time, away a lot these days, use my own kitchen & separate internal entrance. We have a cleaner for shared areas ie kitchen, 1st floor toilet & stairs/corridors. She would be more than happy to clean your room whenever you need it.TechnologyFast & reliable fibre optic WiFiBooster PlugsHard wired Ethernet connection for laptopsRoom sockets with USB ports, can be adapted to USB-C.TransportThere are excellent and reliable transport links, with Oxford Circus just 15 mins by tube.Walking distance to the numerous train links: -Clapham North tube (Northern line) – 10 minsClapham High Street (Overground line) – 12 minsClapham Common tube (Northern line) – 12 minsBrixton tube (Victoria line) – 16 minsLockable bike space available outside.NOTE: I have a long haired cat but she is away on her holidays at the moment & likes to stay on the ground floor when she is in residence :)",,,Furnished,,,Females preferred,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/25/98259181.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/25/98259154.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/25/98259180.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/25/98259452.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/25/98259155.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/25/98259455.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/25/98259456.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/25/98259453.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/25/98259610.jpg""]","gym, socialising, fitness",English,,No,London SW2,,None,,3 months,,,2,Available to all,,,No,SW2Area,House share,Yes,"£1,495 pcm",double En suite,,,No,No,,,5,,
18083967,,22 to 27,No,Now,No,Yes,Yes,No,"£1,150.00",,,,,,,,"Located in a peaceful residential street, 5 minutes walk to Surrey Quays Station or 10 minutes walk to Canada Water Station.📍 Location Highlights5-min walk to Surrey Quays Overground1 stop to Canada Water (Jubilee Line)24/7 regular buses nearby✔ 20 min to Canary Wharf✔ 25 min to Shoreditch & Liverpool Street✔ 35 min to Oxford Circus✔ 15 min by bus or 30 min walk to Greenwich University✔ 22 min walk to Goldsmiths University💫 The House5 bedrooms3 bathroomsVictorian-style charm with a private gardenSpacious kitchen with 2 fridges and living spaceLaundry room-The RoomDouble bedWardrobeIKEA DrawersDesk and chairPrivate Bathroom🌿 Area HighlightsThis house is perfectly positioned for both nature and city living:-Stroll through the park, directly across the street, or visit the nearby nature reserve-Discover the waterside pubs, restaurants, and activities in Canada Water-Unique attractions like London’s most unusual library-Convenient access to supermarkets, international restaurants, and cosy cafes📬 Contact Me NowMessage me on WhatsApp for viewings and fast replies!",No,,Furnished,No,Yes,"2 Females, 2 Males","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425939.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425940.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425925.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425951.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425926.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425917.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425910.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425920.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425924.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425911.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425909.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425912.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425915.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425914.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425918.jpg""]",,,,shared,Surrey Quays,,None,18,3 months,,,4,Available to all,,No,No,SE8Area,House share,No,"£1,150 pcm",double,,,No,Yes,Surrey Quays Station,0-5 minutes walk away,5,,
